X,Y,Z
-0.25,-0.95,0.84
-0.15,-0.95,0.88
-0.05,-0.95,0.9
0.05,-0.95,0.9
0.15,-0.95,0.88
0.25,-0.95,0.84
-0.45,-0.85,0.5199999999999999
-0.35,-0.85,0.6
-0.25,-0.85,0.6599999999999999
-0.15,-0.85,0.7
-0.05,-0.85,0.72
0.05,-0.85,0.72
0.15,-0.85,0.7
0.25,-0.85,0.6599999999999999
0.35,-0.85,0.6
0.45,-0.85,0.5199999999999999
-0.65,-0.75,0.13999999999999996
-0.55,-0.75,0.25999999999999995
-0.45,-0.75,0.36
-0.35,-0.75,0.44
-0.25,-0.75,0.5
-0.15,-0.75,0.54
-0.05,-0.75,0.56
0.05,-0.75,0.56
0.15,-0.75,0.54
0.25,-0.75,0.5
0.35,-0.75,0.44
0.45,-0.75,0.36
0.55,-0.75,0.25999999999999995
0.65,-0.75,0.13999999999999996
-0.75,-0.65,-0.13999999999999996
-0.65,-0.65,0.0
-0.55,-0.65,0.12
-0.45,-0.65,0.22000000000000003
-0.35,-0.65,0.30000000000000004
-0.25,-0.65,0.36000000000000004
-0.15,-0.65,0.4
-0.05,-0.65,0.42000000000000004
0.05,-0.65,0.42000000000000004
0.15,-0.65,0.4
0.25,-0.65,0.36000000000000004
0.35,-0.65,0.30000000000000004
0.45,-0.65,0.22000000000000003
0.55,-0.65,0.12
0.65,-0.65,0.0
0.75,-0.65,-0.13999999999999996
-0.75,-0.55,-0.25999999999999995
-0.65,-0.55,-0.12
-0.55,-0.55,0.0
-0.45,-0.55,0.10000000000000003
-0.35,-0.55,0.18000000000000005
-0.25,-0.55,0.24000000000000005
-0.15,-0.55,0.28
-0.05,-0.55,0.30000000000000004
0.05,-0.55,0.30000000000000004
0.15,-0.55,0.28
0.25,-0.55,0.24000000000000005
0.35,-0.55,0.18000000000000005
0.45,-0.55,0.10000000000000003
0.55,-0.55,0.0
0.65,-0.55,-0.12
0.75,-0.55,-0.25999999999999995
-0.85,-0.45,-0.5199999999999999
-0.75,-0.45,-0.36
-0.65,-0.45,-0.22000000000000003
-0.55,-0.45,-0.10000000000000003
-0.45,-0.45,0.0
-0.35,-0.45,0.08000000000000003
-0.25,-0.45,0.14
-0.15,-0.45,0.18000000000000002
-0.05,-0.45,0.2
0.05,-0.45,0.2
0.15,-0.45,0.18000000000000002
0.25,-0.45,0.14
0.35,-0.45,0.08000000000000003
0.45,-0.45,0.0
0.55,-0.45,-0.10000000000000003
0.65,-0.45,-0.22000000000000003
0.75,-0.45,-0.36
0.85,-0.45,-0.5199999999999999
-0.85,-0.35,-0.6
-0.75,-0.35,-0.44
-0.65,-0.35,-0.30000000000000004
-0.55,-0.35,-0.18000000000000005
-0.45,-0.35,-0.08000000000000003
-0.35,-0.35,0.0
-0.25,-0.35,0.059999999999999984
-0.15,-0.35,0.09999999999999998
-0.05,-0.35,0.11999999999999998
0.05,-0.35,0.11999999999999998
0.15,-0.35,0.09999999999999998
0.25,-0.35,0.059999999999999984
0.35,-0.35,0.0
0.45,-0.35,-0.08000000000000003
0.55,-0.35,-0.18000000000000005
0.65,-0.35,-0.30000000000000004
0.75,-0.35,-0.44
0.85,-0.35,-0.6
-0.95,-0.25,-0.84
-0.85,-0.25,-0.6599999999999999
-0.75,-0.25,-0.5
-0.65,-0.25,-0.36000000000000004
-0.55,-0.25,-0.24000000000000005
-0.45,-0.25,-0.14
-0.35,-0.25,-0.059999999999999984
-0.25,-0.25,0.0
-0.15,-0.25,0.04
-0.05,-0.25,0.06
0.05,-0.25,0.06
0.15,-0.25,0.04
0.25,-0.25,0.0
0.35,-0.25,-0.059999999999999984
0.45,-0.25,-0.14
0.55,-0.25,-0.24000000000000005
0.65,-0.25,-0.36000000000000004
0.75,-0.25,-0.5
0.85,-0.25,-0.6599999999999999
0.95,-0.25,-0.84
-0.95,-0.15,-0.88
-0.85,-0.15,-0.7
-0.75,-0.15,-0.54
-0.65,-0.15,-0.4
-0.55,-0.15,-0.28
-0.45,-0.15,-0.18000000000000002
-0.35,-0.15,-0.09999999999999998
-0.25,-0.15,-0.04
-0.15,-0.15,0.0
-0.05,-0.15,0.019999999999999997
0.05,-0.15,0.019999999999999997
0.15,-0.15,0.0
0.25,-0.15,-0.04
0.35,-0.15,-0.09999999999999998
0.45,-0.15,-0.18000000000000002
0.55,-0.15,-0.28
0.65,-0.15,-0.4
0.75,-0.15,-0.54
0.85,-0.15,-0.7
0.95,-0.15,-0.88
-0.95,-0.05,-0.9
-0.85,-0.05,-0.72
-0.75,-0.05,-0.56
-0.65,-0.05,-0.42000000000000004
-0.55,-0.05,-0.30000000000000004
-0.45,-0.05,-0.2
-0.35,-0.05,-0.11999999999999998
-0.25,-0.05,-0.06
-0.15,-0.05,-0.019999999999999997
-0.05,-0.05,0.0
0.05,-0.05,0.0
0.15,-0.05,-0.019999999999999997
0.25,-0.05,-0.06
0.35,-0.05,-0.11999999999999998
0.45,-0.05,-0.2
0.55,-0.05,-0.30000000000000004
0.65,-0.05,-0.42000000000000004
0.75,-0.05,-0.56
0.85,-0.05,-0.72
0.95,-0.05,-0.9
-0.95,0.05,-0.9
-0.85,0.05,-0.72
-0.75,0.05,-0.56
-0.65,0.05,-0.42000000000000004
-0.55,0.05,-0.30000000000000004
-0.45,0.05,-0.2
-0.35,0.05,-0.11999999999999998
-0.25,0.05,-0.06
-0.15,0.05,-0.019999999999999997
-0.05,0.05,0.0
0.05,0.05,0.0
0.15,0.05,-0.019999999999999997
0.25,0.05,-0.06
0.35,0.05,-0.11999999999999998
0.45,0.05,-0.2
0.55,0.05,-0.30000000000000004
0.65,0.05,-0.42000000000000004
0.75,0.05,-0.56
0.85,0.05,-0.72
0.95,0.05,-0.9
-0.95,0.15,-0.88
-0.85,0.15,-0.7
-0.75,0.15,-0.54
-0.65,0.15,-0.4
-0.55,0.15,-0.28
-0.45,0.15,-0.18000000000000002
-0.35,0.15,-0.09999999999999998
-0.25,0.15,-0.04
-0.15,0.15,0.0
-0.05,0.15,0.019999999999999997
0.05,0.15,0.019999999999999997
0.15,0.15,0.0
0.25,0.15,-0.04
0.35,0.15,-0.09999999999999998
0.45,0.15,-0.18000000000000002
0.55,0.15,-0.28
0.65,0.15,-0.4
0.75,0.15,-0.54
0.85,0.15,-0.7
0.95,0.15,-0.88
-0.95,0.25,-0.84
-0.85,0.25,-0.6599999999999999
-0.75,0.25,-0.5
-0.65,0.25,-0.36000000000000004
-0.55,0.25,-0.24000000000000005
-0.45,0.25,-0.14
-0.35,0.25,-0.059999999999999984
-0.25,0.25,0.0
-0.15,0.25,0.04
-0.05,0.25,0.06
0.05,0.25,0.06
0.15,0.25,0.04
0.25,0.25,0.0
0.35,0.25,-0.059999999999999984
0.45,0.25,-0.14
0.55,0.25,-0.24000000000000005
0.65,0.25,-0.36000000000000004
0.75,0.25,-0.5
0.85,0.25,-0.6599999999999999
0.95,0.25,-0.84
-0.85,0.35,-0.6
-0.75,0.35,-0.44
-0.65,0.35,-0.30000000000000004
-0.55,0.35,-0.18000000000000005
-0.45,0.35,-0.08000000000000003
-0.35,0.35,0.0
-0.25,0.35,0.059999999999999984
-0.15,0.35,0.09999999999999998
-0.05,0.35,0.11999999999999998
0.05,0.35,0.11999999999999998
0.15,0.35,0.09999999999999998
0.25,0.35,0.059999999999999984
0.35,0.35,0.0
0.45,0.35,-0.08000000000000003
0.55,0.35,-0.18000000000000005
0.65,0.35,-0.30000000000000004
0.75,0.35,-0.44
0.85,0.35,-0.6
-0.85,0.45,-0.5199999999999999
-0.75,0.45,-0.36
-0.65,0.45,-0.22000000000000003
-0.55,0.45,-0.10000000000000003
-0.45,0.45,0.0
-0.35,0.45,0.08000000000000003
-0.25,0.45,0.14
-0.15,0.45,0.18000000000000002
-0.05,0.45,0.2
0.05,0.45,0.2
0.15,0.45,0.18000000000000002
0.25,0.45,0.14
0.35,0.45,0.08000000000000003
0.45,0.45,0.0
0.55,0.45,-0.10000000000000003
0.65,0.45,-0.22000000000000003
0.75,0.45,-0.36
0.85,0.45,-0.5199999999999999
-0.75,0.55,-0.25999999999999995
-0.65,0.55,-0.12
-0.55,0.55,0.0
-0.45,0.55,0.10000000000000003
-0.35,0.55,0.18000000000000005
-0.25,0.55,0.24000000000000005
-0.15,0.55,0.28
-0.05,0.55,0.30000000000000004
0.05,0.55,0.30000000000000004
0.15,0.55,0.28
0.25,0.55,0.24000000000000005
0.35,0.55,0.18000000000000005
0.45,0.55,0.10000000000000003
0.55,0.55,0.0
0.65,0.55,-0.12
0.75,0.55,-0.25999999999999995
-0.75,0.65,-0.13999999999999996
-0.65,0.65,0.0
-0.55,0.65,0.12
-0.45,0.65,0.22000000000000003
-0.35,0.65,0.30000000000000004
-0.25,0.65,0.36000000000000004
-0.15,0.65,0.4
-0.05,0.65,0.42000000000000004
0.05,0.65,0.42000000000000004
0.15,0.65,0.4
0.25,0.65,0.36000000000000004
0.35,0.65,0.30000000000000004
0.45,0.65,0.22000000000000003
0.55,0.65,0.12
0.65,0.65,0.0
0.75,0.65,-0.13999999999999996
-0.65,0.75,0.13999999999999996
-0.55,0.75,0.25999999999999995
-0.45,0.75,0.36
-0.35,0.75,0.44
-0.25,0.75,0.5
-0.15,0.75,0.54
